id;servicio;marca;modelo;situacion;estado;kms;tipo;kilometraje
"https://www.zaragoza.es/sede/servicio/vehiculo/26";"Arquitectura";"Opel";"Astra";"PROPIEDAD";"ALTA";"6014";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//664,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1302,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//26"
"https://www.zaragoza.es/sede/servicio/vehiculo/27";"Arquitectura";"Opel";"Corsa";"PROPIEDAD";"ALTA";"6409";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//27,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1303,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//665"
"https://www.zaragoza.es/sede/servicio/vehiculo/28";"Arquitectura";"Mercedes";"108";"PROPIEDAD";"ALTA";"12697";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//666,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//28,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1304"
"https://www.zaragoza.es/sede/servicio/vehiculo/29";"Arquitectura";"Moreno Remondo";"Remolque";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//29,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//667,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1305"
"https://www.zaragoza.es/sede/servicio/vehiculo/30";"Arquitectura";"Moreno Remondo";"Remolque Pajes";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1306,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//30,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//668"
"https://www.zaragoza.es/sede/servicio/vehiculo/31";"Arquitectura";"Moreno Remondo";"Remolque Pajes";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//669,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//31,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1307"
"https://www.zaragoza.es/sede/servicio/vehiculo/32";"Arquitectura";"Moreno Remondo";"Remolque Pajes";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//32,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//670,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1308"
"https://www.zaragoza.es/sede/servicio/vehiculo/33";"Arquitectura";"Moreno Remondo";"Remolque";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1309,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//33,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//671"
"https://www.zaragoza.es/sede/servicio/vehiculo/34";"Arquitectura";"Opel";"Astra";"PROPIEDAD";"ALTA";"8164";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1310,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//34,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//672"
"https://www.zaragoza.es/sede/servicio/vehiculo/35";"Arquitectura";"Moreno Remondo";"Remolque Reyes";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1311,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//35,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//673"
"https://www.zaragoza.es/sede/servicio/vehiculo/36";"Arquitectura";"Moreno Remondo";"Remolque Reyes";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//674,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//36,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1312"
"https://www.zaragoza.es/sede/servicio/vehiculo/37";"Arquitectura";"Moreno Remondo";"Remolque Reyes";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1313,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//37,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//675"
"https://www.zaragoza.es/sede/servicio/vehiculo/38";"Arquitectura";"Moreno Remondo";"Remolque ";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//38,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//676,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1314"
"https://www.zaragoza.es/sede/servicio/vehiculo/39";"Arquitectura";"Peugeot";"Partner";"PROPIEDAD";"ALTA";"4677";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//677,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1315,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//39"
"https://www.zaragoza.es/sede/servicio/vehiculo/40";"Arquitectura";"Peugeot";"Partner";"PROPIEDAD";"ALTA";"9108";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1316,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//40,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//678"
"https://www.zaragoza.es/sede/servicio/vehiculo/41";"Arquitectura";"Opel";"Corsa";"PROPIEDAD";"ALTA";"5957";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//679,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//41,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1317"
"https://www.zaragoza.es/sede/servicio/vehiculo/42";"Arquitectura";"Moreno Remondo";"Remolque";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/41";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//42,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//680,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1318"
"https://www.zaragoza.es/sede/servicio/vehiculo/43";"Arquitectura";"Peugeot";"Partner";"PROPIEDAD";"ALTA";"10000";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1319,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//681,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//43"
"https://www.zaragoza.es/sede/servicio/vehiculo/44";"Arquitectura";"Peugeot";"Partner";"PROPIEDAD";"ALTA";"5724";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//682,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1320,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//44"
"https://www.zaragoza.es/sede/servicio/vehiculo/45";"Arquitectura";"Peugeot";"Partner";"PROPIEDAD";"ALTA";"10239";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//683,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//45,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1321"
"https://www.zaragoza.es/sede/servicio/vehiculo/46";"Arquitectura";"Mercedes";"208";"PROPIEDAD";"ALTA";"7850";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//46,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//684,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1322"
"https://www.zaragoza.es/sede/servicio/vehiculo/47";"Arquitectura";"Mercedes";"208";"PROPIEDAD";"ALTA";"13700";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1323,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//47,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//685"
"https://www.zaragoza.es/sede/servicio/vehiculo/48";"Arquitectura";"Opel";"Corsa";"PROPIEDAD";"ALTA";"6688";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//48,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1324,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//686"
"https://www.zaragoza.es/sede/servicio/vehiculo/49";"Arquitectura";"Opel";"Corsa";"PROPIEDAD";"ALTA";"798";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//49,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//687,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1325"
"https://www.zaragoza.es/sede/servicio/vehiculo/50";"Arquitectura";"Opel";"Combo";"PROPIEDAD";"ALTA";"8645";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//50,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1326,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//688"
